ba,female_ba,roi
1.5,1.5,dp3
2,2,dp3
2.5,2.5,dp3
3,2.5,dp3
3.5,3,dp3
4,3,dp3
4.5,3.5,dp3
5,4,dp3
5.5,4.5,dp3
6,4.5,dp3
6.5,5,dp3
7,5.5,dp3
7.5,5.5,dp3
8,6,dp3
8.5,6.5,dp3
9,6.5,dp3
9.5,7,dp3
10,7.5,dp3
10.5,8,dp3
11,8.5,dp3
11.5,9,dp3
12,9.5,dp3
12.5,10,dp3
13,11,dp3
13.5,12,dp3
14,12.5,dp3
14.5,13,dp3
15,13.5,dp3
15.5,14,dp3
16,14.5,dp3
16.5,15,dp3
17,15.5,dp3
17.5,16.5,dp3
18,18,dp3
1.5,1.5,mp3
2,1.5,mp3
2.5,2,mp3
3,2.5,mp3
3.5,2.5,mp3
4,2.5,mp3
4.5,3,mp3
5,3.5,mp3
5.5,4.5,mp3
6,5,mp3
6.5,5.5,mp3
7,6,mp3
7.5,6,mp3
8,6.5,mp3
8.5,7,mp3
9,7,mp3
9.5,7.5,mp3
10,8,mp3
10.5,8.5,mp3
11,9,mp3
11.5,9,mp3
12,9.5,mp3
12.5,10,mp3
13,10.5,mp3
13.5,11,mp3
14,12,mp3
14.5,13,mp3
15,13.5,mp3
15.5,14,mp3
16,14.5,mp3
16.5,15,mp3
17,15.5,mp3
17.5,17,mp3
18,17.5,mp3
1.5,1.5,pp3
2,2,pp3
2.5,2,pp3
3,2.5,pp3
3.5,3,pp3
4,4,pp3
4.5,4,pp3
5,4.5,pp3
5.5,5,pp3
6,5,pp3
6.5,5.5,pp3
7,6,pp3
7.5,6,pp3
8,6.5,pp3
8.5,7,pp3
9,7,pp3
9.5,7.5,pp3
10,8,pp3
10.5,8.5,pp3
11,9,pp3
11.5,9,pp3
12,9.5,pp3
12.5,10,pp3
13,10.5,pp3
13.5,11,pp3
14,11.5,pp3
14.5,12,pp3
15,13,pp3
15.5,13.5,pp3
16,14.5,pp3
16.5,15.5,pp3
17,16,pp3
17.5,17,pp3
18,18,pp3
1.5,1.5,radius
2,2,radius
2.5,2.5,radius
3,3,radius
3.5,3.5,radius
4,3.5,radius
4.5,4,radius
5,4,radius
5.5,4.5,radius
6,5,radius
6.5,5.5,radius
7,6,radius
7.5,6.5,radius
8,7,radius
8.5,8,radius
9,8.5,radius
9.5,9,radius
10,9.5,radius
10.5,9.5,radius
11,10,radius
11.5,10,radius
12,10.5,radius
12.5,11,radius
13,11.5,radius
13.5,11.5,radius
14,12,radius
14.5,12.5,radius
15,13,radius
15.5,13.5,radius
16,14,radius
16.5,14.5,radius
17,15,radius
17.5,16,radius
18,17,radius
1.5,1.5,ulna
2,2,ulna
2.5,2.5,ulna
3,3,ulna
3.5,3.5,ulna
4,4,ulna
4.5,4.5,ulna
5,5,ulna
5.5,5.5,ulna
6,6,ulna
6.5,6.5,ulna
7,7,ulna
7.5,7.5,ulna
8,8,ulna
8.5,8.5,ulna
9,9,ulna
9.5,9,ulna
10,9,ulna
10.5,9,ulna
11,9.5,ulna
11.5,10,ulna
12,11,ulna
12.5,11,ulna
13,11.5,ulna
13.5,12,ulna
14,12.5,ulna
14.5,13,ulna
15,13.5,ulna
15.5,14,ulna
16,14.5,ulna
16.5,15,ulna
17,15.5,ulna
17.5,16,ulna
18,17,ulna
1.5,1.5,mc1
2,1.5,mc1
2.5,2,mc1
3,2.5,mc1
3.5,2.5,mc1
4,3,mc1
4.5,3,mc1
5,3.5,mc1
5.5,4,mc1
6,4.5,mc1
6.5,5,mc1
7,5.5,mc1
7.5,6,mc1
8,6.5,mc1
8.5,7,mc1
9,7,mc1
9.5,7.5,mc1
10,8,mc1
10.5,8.5,mc1
11,9,mc1
11.5,9.5,mc1
12,10,mc1
12.5,10.5,mc1
13,11,mc1
13.5,12,mc1
14,12.5,mc1
14.5,13,mc1
15,13.5,mc1
15.5,14,mc1
16,14.5,mc1
16.5,15,mc1
17,16,mc1
17.5,17,mc1
18,18,mc1
1.5,1.5,carpal
2,1.5,carpal
2.5,2.5,carpal
3,3,carpal
3.5,3,carpal
4,3.5,carpal
4.5,3.5,carpal
5,4,carpal
5.5,4,carpal
6,4,carpal
6.5,5,carpal
7,6,carpal
7.5,6.5,carpal
8,7,carpal
8.5,7.5,carpal
9,7.5,carpal
9.5,8,carpal
10,8.5,carpal
10.5,8.5,carpal
11,9,carpal
11.5,9.5,carpal
12,10,carpal
12.5,10.5,carpal
13,11,carpal
13.5,12,carpal
14,12.5,carpal
14.5,13,carpal
15,13.5,carpal
15.5,14,carpal
16,14.5,carpal
16.5,15,carpal
17,15.5,carpal
17.5,15.5,carpal
18,16,carpal
